Initialising login role...
Connecting to remote database...

  
   Local          | Remote         | Time (UTC)          
  ----------------|----------------|---------------------
   20260224000001 | 20260224000001 | 2026-02-24 00:00:01 
   20260225000002 | 20260225000002 | 2026-02-25 00:00:02 
                  | 20260304       | 20260304            
   20260304000009 |                | 2026-03-04 00:00:09 
   20260304000010 |                | 2026-03-04 00:00:10 
   20260305000001 | 20260305000001 | 2026-03-05 00:00:01 
   20260305000002 | 20260305000002 | 2026-03-05 00:00:02 
   20260306164000 | 20260306164000 | 2026-03-06 16:40:00 
   20260307164000 | 20260307164000 | 2026-03-07 16:40:00 
   20260308000001 | 20260308000001 | 2026-03-08 00:00:01 
   20260308000002 | 20260308000002 | 2026-03-08 00:00:02 
   20260308000003 | 20260308000003 | 2026-03-08 00:00:03 
   20260308000004 | 20260308000004 | 2026-03-08 00:00:04 
   20260308000005 | 20260308000005 | 2026-03-08 00:00:05 

